Bil,Nama Taman,Daerah,Mukim,Poskod,Bilangan Rumah
1,TAMAN SHUKOR,Seremban,AMPANGAN,70400,43
2,TAMAN DESA KENANGA INDAH,Seremban,AMPANGAN,70400,30
3,TAMAN VILLA PALMA,Seremban,AMPANGAN,70400,56
4,TAMAN SERI SENTOSA,Seremban,AMPANGAN,70400,28
5,RESIDENSI SIGC,Seremban,AMPANGAN,70400,217
6,GEDUNG LALANG 162,Seremban,AMPANGAN,70400,198
7,GEDUNG LALANG 50,Seremban,AMPANGAN,70400,171
8,TAMAN DATO WAN,Seremban,AMPANGAN,70400,120
9,TAMAN GOLF HEIGHT,Seremban,AMPANGAN,70400,91
10,TAMAN SIKAMAT ACASIA COUNTRY HEIGHT,Seremban,AMPANGAN,70400,283
11,TAMAN BUKIT NIBONG,Seremban,AMPANGAN,70400,129
12,SEREMBAN PUTRA,Seremban,AMPANGAN,70400,1000
13,TAMAN DESA PERMAI,Seremban,AMPANGAN,70400,159
14,TAMAN PERWIRA,Seremban,AMPANGAN,70400,160
15,RUMAH RAKYAT SIKAMAT 1,Seremban,AMPANGAN,70400,159
16,TAMAN UJONG PASIR,Seremban,AMPANGAN,70400,14
17,TAMAN SRI PULAI,Seremban,AMPANGAN,70400,86
18,TAMAN ANGSANA,Seremban,AMPANGAN,70400,45
19,TAMAN KAYU MANIS,Seremban,AMPANGAN,70400,21
20,KAMPUNG JIBOI,Seremban,AMPANGAN,70400,533
21,TAMAN KEKWA,Seremban,AMPANGAN,70400,343
22,TAMAN SRI TANJUNG,Seremban,AMPANGAN,70400,21
23,TAMAN NEGERI AMPANGAN,Seremban,AMPANGAN,70400,36
24,TAMAN SRI LANDAK,Seremban,AMPANGAN,70400,13
25,TAMAN NZ,Seremban,AMPANGAN,70400,46
26,TAMAN SRI NEGERI,Seremban,AMPANGAN,70400,26
27,TAMAN BOUGAINVILLA,Seremban,AMPANGAN,70400,22
28,TAMAN BUKIT KELANA,Seremban,AMPANGAN,70400,73
29,TAMAN MELATI INDAH,Seremban,AMPANGAN,70400,34
30,TAMAN KIAMBANG INDAH,Seremban,AMPANGAN,70400,72
31,TAMAN DESA ROS,Seremban,AMPANGAN,70400,346
32,TAMAN SRI SIANTAN,Seremban,AMPANGAN,70400,27
33,TAMAN GURU,Seremban,AMPANGAN,70400,152
34,TAMAN DESA DURANTA,Seremban,AMPANGAN,70400,113
35,TAMAN SETIA HATI,Seremban,AMPANGAN,70400,24
36,TAMAN LILY SUTERA,Seremban,AMPANGAN,70400,26
37,TAMAN RASHIDAH UTAMA,Seremban,AMPANGAN,70400,53
38,KAMPUNG SENTOSA JAYA,Seremban,AMPANGAN,70400,138
39,KAMPUNG SENTOSA,Seremban,AMPANGAN,70400,388
40,FLAT CASURINA,Seremban,AMPANGAN,70400,237
41,PPR PAROI,Seremban,AMPANGAN,70400,390
42,KAMPUNG TOK DAGANG,Seremban,AMPANGAN,70400,115
43,TAMAN CENGAL UTAMA,Seremban,AMPANGAN,70400,551
44,TAMAN JEMERLANG,Seremban,AMPANGAN,70400,130
45,TAMAN MARGOSA,Seremban,AMPANGAN,70400,531
46,KAMPUNG MELAYU PANCHOR,Seremban,AMPANGAN,70400,23
47,TAMAN SRI PAROI,Seremban,AMPANGAN,70400,53
48,RUMAH MURAH PANCHOR,Seremban,AMPANGAN,70400,176
49,KAMPUNG PANCHOR,Seremban,AMPANGAN,70400,415
50,TAMAN NYIOR (A B C),Seremban,AMPANGAN,70400,471
51,SEREMBAN FOREST HEIGHT,Seremban,AMPANGAN,70400,2388
52,TAMAN WARISAN PUTERI,Seremban,AMPANGAN,70400,5479
53,TAMAN SEREMBAN JAYA,Seremban,AMPANGAN,70400,30
54,TAMAN YOON FOOK,Seremban,AMPANGAN,70400,60
55,TAMAN TAN CHEE HOE,Seremban,AMPANGAN,70400,161
56,TAMAN SEREMBAN,Seremban,AMPANGAN,70400,136
57,TAMAN SEREMBAN BARU,Seremban,AMPANGAN,70400,483
58,TAMAN KIAN KEE,Seremban,AMPANGAN,70400,36
59,TAMAN DUSUN SETIA,Seremban,AMPANGAN,70400,864
60,TAMAN DATO SHAH BANDAR,Seremban,AMPANGAN,70400,238
61,TAMAN SAKURA,Seremban,AMPANGAN,70400,99
62,TAMAN BUKTI,Seremban,AMPANGAN,70400,407
63,TAMAN BAKAWALI,Seremban,AMPANGAN,70400,53
64,TAMAN BUKTI SETIA,Seremban,AMPANGAN,70400,109
65,TAMAN AMPANGAN,Seremban,AMPANGAN,70400,311
66,KAMPUNG BARU PAROI,Seremban,AMPANGAN,70400,58
67,TAMAN PINGGIRAN GOLF,Seremban,AMPANGAN,70400,411
68,TAMAN PAROI JAYA,Seremban,AMPANGAN,70400,1233
69,TAMAN PALMA JAYA,Seremban,AMPANGAN,70400,176
70,TAMAN PANCHOR JAYA,Seremban,AMPANGAN,70400,1154
71,TAMAN SRI TELAWI,Seremban,AMPANGAN,70400,311
72,TAMAN SIKAMAT UTAMA,Seremban,AMPANGAN,70400,245
73,TAMAN JUJUR,Seremban,AMPANGAN,70400,650
74,TAMAN DESA RHU,Seremban,AMPANGAN,70400,1428
75,TAMAN SRI PENAGA FASA 2,Seremban,AMPANGAN,70400,296
76,TAMAN KURSHIAH,Seremban,AMPANGAN,70400,53
77,TAMAN SELASEH,Seremban,AMPANGAN,70400,59
78,TAMAN SIKAMAT JAYA,Seremban,AMPANGAN,70400,113
79,TAMAN MEGAWAY,Seremban,AMPANGAN,70400,302
80,KAMPUNG BARU SIKAMAT,Seremban,AMPANGAN,70400,246
81,TAMAN AMPANGAN JAYA,Seremban,AMPANGAN,70400,1387
82,TAMAN PELANGI,Seremban,AMPANGAN,70400,560
83,TAMAN SRI INAI,Seremban,AMPANGAN,70400,156
84,TAMAN COLLEGE HEIGHT,Seremban,AMPANGAN,70400,909
85,TAMAN SRI PENAGA FASA 1,Seremban,AMPANGAN,70400,135
86,TAMAN PINANG GADING,Seremban,AMPANGAN,70400,186
87,TAMAN SRI PULAI,Seremban,AMPANGAN,70400,522
88,TAMAN DESA BERINGIN,Seremban,AMPANGAN,70400,285
89,TAMAN DESA KIARA,Seremban,AMPANGAN,70400,318
90,TAMAN SRI PAGI,Seremban,AMPANGAN,70400,713
91,TAMAN RASA SAYANG,Seremban,AMPANGAN,70400,236
92,TAMAN CEMPAKA,Seremban,AMPANGAN,70400,364
93,TAMAN CEMPAKA 3,Seremban,AMPANGAN,70400,380
94,TAMAN MARIDA,Seremban,AMPANGAN,70400,981
95,TAMAN SENAWANG JAYA,Seremban,AMPANGAN,70400,1427
96,TAMAN DESA ANGGERIK,Seremban,AMPANGAN,70400,388
97,TAMAN KOBENA,Seremban,AMPANGAN,70400,388
98,TAMAN SENAWANG INDAH,Seremban,AMPANGAN,70400,372
99,TAMAN SATRIA,Seremban,AMPANGAN,70400,891
100,TAMAN SRI KASIH,Seremban,AMPANGAN,70400,276
101,TAMAN TASIK JAYA,Seremban,AMPANGAN,70400,2689
102,TAMAN SRI MAWAR,Seremban,AMPANGAN,70400,670
103,TAMAN DESA DAHLIA,Seremban,AMPANGAN,70400,511
104,TAMAN LILY,Seremban,AMPANGAN,70400,156
105,TAMAN TERATAI,Seremban,AMPANGAN,70400,255
106,TAMAN DESA FLORA,Seremban,AMPANGAN,70400,68
107,TAMAN WIDURI,Seremban,AMPANGAN,70400,415
108,TAMAN SRI BAYU,Seremban,AMPANGAN,70400,219
109,TAMAN ALAMANDA,Seremban,AMPANGAN,70400,458
110,RUMAH PANGSA SENAWANG 2,Seremban,AMPANGAN,70400,632
111,TAMAN JASMIN,Seremban,AMPANGAN,70400,1201
112,TAMAN MATAHARI HEIGHT,Seremban,AMPANGAN,70400,404
113,TAMAN KEMUNING,Seremban,AMPANGAN,70400,428
114,TAMAN DESA JAYA,Seremban,AMPANGAN,70400,288
115,TAMAN JASMIN INDAH,Seremban,AMPANGAN,70400,412
116,TAMAN TASIK JAYA 2,Seremban,AMPANGAN,70400,412
117,TAMAN DESA IXORA,Seremban,AMPANGAN,70400,441
118,TAMAN ROS MEWAH,Seremban,AMPANGAN,70400,693
119,TAMAN DESA ORKID,Seremban,AMPANGAN,70400,406
120,TAMAN DESA MELOR,Seremban,AMPANGAN,70400,466
121,TAMAN JASMIN INDAH 2,Seremban,AMPANGAN,70400,328
122,TAMAN MATAHARI INDAH,Seremban,AMPANGAN,70400,407
123,TAMAN SENAWANG INDAH 2,Seremban,AMPANGAN,70400,38
124,TAMAN MAYANG SARI,Seremban,AMPANGAN,70400,100
125,TAMAN DESA FLORA 2,Seremban,AMPANGAN,70400,54
126,TAMAN DESA MELOR INDAH,Seremban,AMPANGAN,70400,38
127,TAMAN LAVENDER HEIGHT,Seremban,AMPANGAN,70400,1107
128,TAMAN SEROJA INDAH,Seremban,AMPANGAN,70400,19
129,TAMAN BOURGAINVILLEA IDAMAN,Seremban,AMPANGAN,70400,19
130,TAMAN SERI KIAMBANG,Seremban,AMPANGAN,70400,64
131,LAMAN AKASIA,Seremban,AMPANGAN,70400,80
132,TAMAN VILLA BERINGIN,Seremban,AMPANGAN,70400,60
133,TAMAN TASIK JAYA 2,Seremban,AMPANGAN,70400,16
134,TAMAN SERI PANDAN,Seremban,AMPANGAN,70400,14
135,TAMAN PENAGA INDAH,Seremban,AMPANGAN,70400,72
136,TAMAN KIARA INDAH,Seremban,AMPANGAN,70400,147
137,TAMAN DESA ROS,Seremban,AMPANGAN,70400,62
138,RUMAH RAKYAT SIKAMAT 2,Seremban,AMPANGAN,70400,200
139,TAMAN RASHIDAH UTAMA 2,Seremban,AMPANGAN,70400,14
140,TAMAN SENTOSA INDAH,Seremban,AMPANGAN,70400,26
141,TAMAN CEMPAKA 2,Seremban,AMPANGAN,70400,28
142,VILLA SURIA,Seremban,AMPANGAN,70400,35
143,TAMAN DELLINIA,Seremban,BANDAR SEREMBAN,70000,61
144,TAMAN NEE YAN,Seremban,BANDAR SEREMBAN,70000,265
145,TAMAN BUKIT MARKISA,Seremban,BANDAR SEREMBAN,70000,87
146,TAMAN SURIA,Seremban,BANDAR SEREMBAN,70000,35
147,TAMAN PERMATA,Seremban,BANDAR SEREMBAN,70000,212
148,TAMAN JED VILLA,Seremban,BANDAR SEREMBAN,70000,30
149,TAMAN TUNKU ABDUL RAHMAN,Seremban,BANDAR SEREMBAN,70000,43
150,RUMAH PANGSA LOBAK,Seremban,BANDAR SEREMBAN,70000,190
151,PPR LOBAK,Seremban,BANDAR SEREMBAN,70000,468
152,TAMAN SAGA,Seremban,BANDAR SEREMBAN,70000,124
153,TAMAN BUKIT LEMON,Seremban,BANDAR SEREMBAN,70000,69
154,RUMAH PANGSA TUN DR ISMAIL,Seremban,BANDAR SEREMBAN,70000,330
155,TAMAN BUKIT TEMBOK,Seremban,BANDAR SEREMBAN,70000,181
156,TAMAN BUKIT NENAS,Seremban,BANDAR SEREMBAN,70000,38
157,TAMAN BUKIT BELIMBING,Seremban,BANDAR SEREMBAN,70000,21
158,TAMAN LIAN,Seremban,BANDAR SEREMBAN,70000,26
159,TAMAN BAN AIK,Seremban,BANDAR SEREMBAN,70000,22
160,TAMAN KELANA INDAH,Seremban,BANDAR SEREMBAN,70000,42
161,TAMAN LIMAU EMAS,Seremban,BANDAR SEREMBAN,70000,119
162,TAMAN KLANA JUBLI,Seremban,BANDAR SEREMBAN,70000,74
163,TAMAN TUAN SHEIKH,Seremban,BANDAR SEREMBAN,70000,24
164,TAMAN HO,Seremban,BANDAR SEREMBAN,70000,38
165,TAMAN DATO ABU HANIFAH,Seremban,BANDAR SEREMBAN,70000,134
166,KAMPUNG BARU RASAH,Seremban,BANDAR SEREMBAN,70000,484
167,TAMAN BUKIT CHEDANG 1,Seremban,BANDAR SEREMBAN,70000,530
168,TAMAN BUKIT CHEDANG 2,Seremban,BANDAR SEREMBAN,70000,832
169,TAMAN SUNGAI UJONG,Seremban,BANDAR SEREMBAN,70000,96
170,TAMAN SRI PUTEH,Seremban,BANDAR SEREMBAN,70000,30
171,TAMAN MOK SUM,Seremban,BANDAR SEREMBAN,70000,57
172,TAMAN HAPPY,Seremban,BANDAR SEREMBAN,70000,65
173,TAMAN KASTURI,Seremban,BANDAR SEREMBAN,70000,28
174,TAMAN UJONG,Seremban,BANDAR SEREMBAN,70000,73
175,TAMAN SRI LOOP,Seremban,BANDAR SEREMBAN,70000,156
176,TAMAN KENARI,Seremban,BANDAR SEREMBAN,70000,28
177,TAMAN SEJAHTERA,Seremban,BANDAR SEREMBAN,70000,53
178,TAMAN STAR LIGHT,Seremban,BANDAR SEREMBAN,70000,140
179,TAMAN CHEONG LOONG,Seremban,BANDAR SEREMBAN,70000,119
180,KAMPUNG ABOK (KAMPUNG SEMARAK),Seremban,BANDAR SEREMBAN,70000,103
181,TAMAN ABOK JAYA,Seremban,BANDAR SEREMBAN,70000,150
182,KAMPUNG DATOK MANSOR,Seremban,BANDAR SEREMBAN,70000,133
183,TAMAN SRI PULASAN,Seremban,BANDAR SEREMBAN,70000,21
184,TAMAN RAHANG,Seremban,BANDAR SEREMBAN,70000,188
185,TAMAN BIDARA,Seremban,BANDAR SEREMBAN,70000,977
186,TAMAN MERDEKA HEIGHT,Seremban,BANDAR SEREMBAN,70000,42
187,TAMAN DUSUN NYIOR,Seremban,BANDAR SEREMBAN,70000,135
188,TAMAN BUKIT RASAH,Seremban,BANDAR SEREMBAN,70000,331
189,KAMPUNG BUKIT TEMIANG,Seremban,BANDAR SEREMBAN,70000,58
190,KAMPUNG MERBAH,Seremban,BANDAR SEREMBAN,70000,23
191,TAMAN MERANTI JAYA,Seremban,BANDAR SEREMBAN,70000,24
192,TAMAN ENGLAND,Seremban,BANDAR SEREMBAN,70000,76
193,TAMAN DESA MANGGIS,Seremban,BANDAR SEREMBAN,70000,23
194,TAMAN ZAITUN INDAH,Seremban,BANDAR SEREMBAN,70000,173
195,TAMAN SENA JAYA,Seremban,BANDAR SEREMBAN,70000,16
196,TAMAN SRI RAMBAI,Seremban,BANDAR SEREMBAN,70000,40
197,TAMAN SRI RAHANG,Seremban,BANDAR SEREMBAN,70000,159
198,TAMAN BUKIT NONA,Seremban,BANDAR SEREMBAN,70000,40
199,TAMAN CERMAI JAYA,Seremban,BANDAR SEREMBAN,70000,32
200,TAMAN SETIA JAYA,Seremban,BANDAR SEREMBAN,70000,30
201,KAMPUNG ISMAIL,Seremban,BANDAR SEREMBAN,70000,62
202,TAMAN MURUGESU,Seremban,BANDAR SEREMBAN,70000,54
203,TAMAN LEE SIEW JOO,Seremban,BANDAR SEREMBAN,70000,46
204,TAMAN BUKIT AMPANGAN,Seremban,BANDAR SEREMBAN,70000,46
205,TAMAN SIKAMAT,Seremban,BANDAR SEREMBAN,70000,19
206,TAMAN PUNCA EMAS,Seremban,BANDAR SEREMBAN,70000,149
207,TAMAN NEGERI,Seremban,BANDAR SEREMBAN,70000,20
208,TAMAN SIM,Seremban,BANDAR SEREMBAN,70000,21
209,TAMAN PERMAI JAYA,Seremban,BANDAR SEREMBAN,70000,508
210,AMPANGAN BLOK B dan C,Seremban,BANDAR SEREMBAN,70000,138
211,TAMAN NEGERI (RASAH),Seremban,BANDAR SEREMBAN,70000,122
212,TAMAN KOOP,Seremban,BANDAR SEREMBAN,70000,31
213,TAMAN NYIOR HIJAU,Seremban,BANDAR SEREMBAN,70000,63
214,TAMAN LIMAU EMAS FASA 3,Seremban,BANDAR SEREMBAN,70000,12
215,TAMAN ANGGUR JAYA,Seremban,BANDAR SEREMBAN,70000,102
216,OFF JLN TUAN HAJI SAID (LAKE HEIGHT),Seremban,BANDAR SEREMBAN,70000,25
217,VILA TAMAN TASIK,Seremban,BANDAR SEREMBAN,70000,8
218,KAMPUNG SINGH,Seremban,BANDAR SEREMBAN,70000,61
219,TAMAN PERMAI IMPIAN,Seremban,BANDAR SEREMBAN,70000,502
220,KAMPUNG PASIR,Seremban,BANDAR SEREMBAN,70000,394
221,TAMAN PURBA,Seremban,BANDAR SEREMBAN,70000,42
222,TAMAN YOON SENG,Seremban,BANDAR SEREMBAN,70000,85
223,TAMAN BUKIT DELIMA,Seremban,BANDAR SEREMBAN,70000,78
224,TAMAN MING HOE,Seremban,BANDAR SEREMBAN,70000,63
225,TAMAN CERI INDAH,Seremban,BANDAR SEREMBAN,70000,16
226,TAMAN MUTIARA GALLA,Seremban,LABU,71900,713
227,TAMAN HARMONIUM UTAMA,Seremban,LABU,71900,130
228,TAMAN BUKIT KRISTAL,Seremban,LABU,71900,288
229,TAMAN HARMONIUM INDAH,Seremban,LABU,71900,84
230,TAMAN BUKIT KEPAYANG,Seremban,LABU,71900,2477
231,TAMAN SERUNAI,Seremban,LABU,71900,65
232,TAMAN BUKIT KEPAYANG,Seremban,LABU,71900,15
233,TAMAN KELAB TUANKU,Seremban,RANTAU,71200,860
234,TAMAN SRI MAMBAU,Seremban,RANTAU,71200,2467
235,TAMAN SENANGIN,Seremban,RANTAU,71200,329
236,TAMAN SEREMBAN JAYA IDAMAN,Seremban,RANTAU,71200,99
237,KAMPUNG BEMBAN,Seremban,RANTAU,71200,70
238,TAMAN IRINGAN BAYU,Seremban,RANTAU,71200,SEDANG DIBINA
239,TAMAN OAKLAND FASA 1B,Seremban,RASAH,70300,68
240,TAMAN LAYANG LAYANG,Seremban,RASAH,70300,669
241,TAMAN MERPATI,Seremban,RASAH,70300,361
242,TAMAN SERI KAMBAN BARU,Seremban,RASAH,70300,268
243,TAMAN CENDERAWASIH,Seremban,RASAH,70300,435
244,TAMAN ANGSAMAS,Seremban,RASAH,70300,645
245,TAMAN MARLIN HEIGHTS,Seremban,RASAH,70300,106
246,RUMAH MURAH MAMBAU,Seremban,RASAH,70300,50
247,TAMAN BUKIT PARI,Seremban,RASAH,70300,34
248,TAMAN KALOI JAYA,Seremban,RASAH,70300,81
249,TAMAN SERENGGAM,Seremban,RASAH,70300,22
250,TAMAN BELIDA,Seremban,RASAH,70300,81
251,TAMAN BUKIT BELIDA,Seremban,RASAH,70300,117
252,TAMAN MAMBAU HEIGHT,Seremban,RASAH,70300,110
253,TAMAN MAMBAU BARU,Seremban,RASAH,70300,83
254,TAMAN MAMBAU,Seremban,RASAH,70300,64
255,TAMAN MAMBAU JAYA,Seremban,RASAH,70300,60
256,TAMAN KERISI,Seremban,RASAH,70300,139
257,TAMAN AROWANA INDAH,Seremban,RASAH,70300,383
258,TAMAN AROWANA IMPIAN,Seremban,RASAH,70300,558
259,TAMAN AIR GARAM,Seremban,RASAH,70300,25
260,KAMPUNG BATU3 MAMBAU,Seremban,RASAH,70300,167
261,TAMAN HARAPAN BARU,Seremban,RASAH,70300,219
262,TAMAN DESA RASAH,Seremban,RASAH,70300,489
263,TAMAN RASAH JAYA,Seremban,RASAH,70300,4977
264,TAMAN MERBOK RIA,Seremban,RASAH,70300,118
265,TAMAN KOPERASI GURU TAMIL,Seremban,RASAH,70300,45
266,TAMAN SRI RASAH,Seremban,RASAH,70300,153
267,TAMAN KOK ANN,Seremban,RASAH,70300,45
268,TAMAN BUKIT NURI INDAH,Seremban,RASAH,70300,416
269,TAMAN BUKIT KAYA,Seremban,RASAH,70300,562
270,TAMAN LABU UTAMA,Seremban,RASAH,70300,88
271,TAMAN BUKIT LABU,Seremban,RASAH,70300,153
272,TAMAN SERULING JAYA,Seremban,RASAH,70300,41
273,KAMPUNG DATO MOHD SAID,Seremban,RASAH,70300,175
274,TAMAN PERMAI,Seremban,RASAH,70300,279
275,TAMAN LABU JAYA,Seremban,RASAH,70300,236
276,TAMAN PERMAI 2,Seremban,RASAH,70300,1154
277,TAMAN PERMAI 3,Seremban,RASAH,70300,956
278,TAMAN OAKLAND,Seremban,RASAH,70300,225
279,TAMAN PERMAI JAYA,Seremban,RASAH,70300,20
280,TAMAN BUKIT KELISA,Seremban,RASAH,70300,485
281,TAMAN DUYUNG,Seremban,RASAH,70300,336
282,TAMAN YOON CHAN,Seremban,RASAH,70300,122
283,TAMAN BUKIT BLOSSOM,Seremban,RASAH,70300,414
284,TAMAN SEA,Seremban,RASAH,70300,140
285,TAMAN BUNGA BLOSSOM,Seremban,RASAH,70300,653
286,TAMAN THIVY,Seremban,RASAH,70300,851
287,KAMPUNG BARU RAHANG,Seremban,RASAH,70300,352
288,TAMAN LOOP,Seremban,RASAH,70300,141
289,KAMPUNG BARU MAMBAU,Seremban,RASAH,70300,320
290,TAMAN PATIN INDAH,Seremban,RASAH,70300,39
291,TAMAN BUKIT EMAS,Seremban,RASAH,70300,681
292,TAMAN SRI BINJAI,Seremban,RASAH,70300,518
293,TAMAN SRI LABU,Seremban,RASAH,70300,98
294,SEREMBAN 2  SEKSYEN G,Seremban,RASAH,70300,4093
295,SEREMBAN 2  SEKSYEN C,Seremban,RASAH,70300,191
296,SEREMBAN 2  SEKSYEN H,Seremban,RASAH,70300,690
297,SEREMBAN 2  SEKSYEN K,Seremban,RASAH,70300,892
298,SEREMBAN 2  SEKSYEN F,Seremban,RASAH,70300,950
299,SEREMBAN 2 SEKSYEN E,Seremban,RASAH,70300,720
300,SEREMBAN 2 SEKSYEN D,Seremban,RASAH,70300,1652
301,SEREMBAN 2  SEKSYEN B,Seremban,RASAH,70300,450
302,SEREMBAN 2  SEKSYEN A,Seremban,RASAH,70300,786
303,TAMAN MAMBAU JAYA,Seremban,RASAH,70300,60
304,TAMAN KERISI INDAH,Seremban,RASAH,70300,34
305,TAMAN BELIDA INDAH,Seremban,RASAH,70300,102
306,TAMAN CHEMARA HILLS,Seremban,RASAH,70300,267
307,TAMAN CENDERAWASIH INDAH,Seremban,RASAH,70300,22
308,SEREMBAN 3  SEKSYEN 1A,Seremban,RASAH,70300,309
309,SEREMBAN 3  SEKSYEN 1B,Seremban,RASAH,70300,213
310,SEREMBAN 3  SEKSYEN 3,Seremban,RASAH,70300,69
311,SEREMBAN 3  SEKSYEN 7,Seremban,RASAH,70300,BELUM DIBINA
312,SEREMBAN 3  SEKSYEN 6,Seremban,RASAH,70300,BELUM DIBINA
313,SEREMBAN 3  SEKSYEN 5A,Seremban,RASAH,70300,50
314,SEREMBAN 3 SEKSYEN 5B,Seremban,RASAH,70300,111
315,SEREMBAN 3  SEKSYEN 5D,Seremban,RASAH,70300,BELUM DIBINA
316,SEREMBAN 3  SEKSYEN 4B,Seremban,RASAH,70300,BELUM DIBINA
317,SEREMBAN 3  SEKSYEN 4A,Seremban,RASAH,70300,284
318,SEREMBAN 3  SEKSYEN 2B,Seremban,RASAH,70300,88
319,SEREMBAN 3  SEKSYEN 2A,Seremban,RASAH,70300,222
320,SEREMBAN 3  SEKSYEN 5C,Seremban,RASAH,70300,81
321,TAMAN OAKLAND FASA3,Seremban,RASAH,70300,177
322,TAMAN BUKIT EMAS 2,Seremban,RASAH,70300,24
323,TAMAN CORAL HEIGHT,Seremban,SEREMBAN,70400,676
324,TAMAN BERLIAN TROPIKA,Seremban,SEREMBAN,70400,34
325,TAMAN INDAH,Seremban,SEREMBAN,70400,387
326,TAMAN TEMIANG JAYA,Seremban,SEREMBAN,70400,370
327,TAMAN RASHIBAH INDAH,Seremban,SEREMBAN,70400,263
328,TAMAN SULIANA,Seremban,SEREMBAN,70400,144
329,TAMAN SRI PULAI 3,Seremban,SEREMBAN,70400,679
330,TAMAN BAIDURI,Seremban,SEREMBAN,70400,277
331,TAMAN BUKIT  INTAN,Seremban,SEREMBAN,70400,1290
332,TAMAN JASPER JAYA,Seremban,SEREMBAN,70400,488
333,TAMAN BUKIT GALENA,Seremban,SEREMBAN,70400,286
334,TAMAN JASPER JAYA 2,Seremban,SEREMBAN,70400,491
335,TAMAN BUKIT JED,Seremban,SEREMBAN,70400,1647
336,TAMAN BUKIT MIKA,Seremban,SEREMBAN,70400,85
337,TAMAN BUKIT DESA,Seremban,SEREMBAN,70400,99
338,TAMAN SAPPHIRE,Seremban,SEREMBAN,70400,50
339,TAMAN BUKIT ZAMRUD,Seremban,SEREMBAN,70400,611
340,TAMAN BUKIT FLORIDA,Seremban,SEREMBAN,70400,1950
341,TAMAN PULAI PERDANA,Seremban,SEREMBAN,70400,244
342,TAMAN PULAI IMPIAN,Seremban,SEREMBAN,70400,320
343,TAMAN DESA TEMIANG,Seremban,SEREMBAN,70400,519
344,TAMAN KENG WONG,Seremban,SEREMBAN,70400,108
345,TAMAN BUKIT MUTIARA,Seremban,SEREMBAN,70400,799
346,TAMAN KWANG TONG,Seremban,SEREMBAN,70400,71
347,TAMAN MAKMOR,Seremban,SEREMBAN,70400,128
348,TAMAN TEMPLER,Seremban,SEREMBAN,70400,244
349,TAMAN DAWN,Seremban,SEREMBAN,70400,115
350,TAMAN KOTAMAS,Seremban,SEREMBAN,70400,94
351,TAMAN CHIP AIK,Seremban,SEREMBAN,70400,418
352,TAMAN LUCKY HEIGHT,Seremban,SEREMBAN,70400,139
353,TAMAN SRI AMBER,Seremban,SEREMBAN,70400,661
354,TAMAN JAYA EMAS,Seremban,SEREMBAN,70400,705
355,TAMAN BUKIT SENTOSA,Seremban,SEREMBAN,70400,365
356,TAMAN BUKIT SARIMBAN,Seremban,SEREMBAN,70400,193
357,TAMAN BUKIT PENAGA,Seremban,SEREMBAN,70400,57
358,TAMAN BUKIT BERLIAN,Seremban,SEREMBAN,70400,125
359,TAMAN SETUL,Nilai,SETUL,71700,82
360,TAMAN TONG SENG,Nilai,SETUL,71700,38
361,TAMAN MAJU,Nilai,SETUL,71700,73
362,TAMAN BUNGA RAYA,Nilai,SETUL,71700,239
363,TAMAN KS,Nilai,SETUL,71700,73
364,TAMAN BUKIT JELUTONG,Nilai,SETUL,71700,107
365,TAMAN PERMAI JAYA,Nilai,SETUL,71700,91
366,TAMAN SENTOSA,Nilai,SETUL,71700,29
367,TAMAN MANTIN JAYA,Nilai,SETUL,71700,32
368,TAMAN PERMATA,Nilai,SETUL,71700,8
369,TAMAN ORKID,Nilai,SETUL,71700,78
370,TAMAN SENTOSA,Nilai,SETUL,71700,31
371,STAFFIELD GOLF dan COUNTRY RESORT,Nilai,SETUL,71700,31
372,TAMAN DESA PELANGI ,Nilai,SETUL,71700,468
373,TAMAN MANTIN ,Nilai,SETUL,71700,172
374,TAMAN ASOKA,Nilai,SETUL,71700,240
375,TAMAN DESA  ,Nilai,SETUL,71700,328
376,TAMAN SRI MAWAR,Nilai,SETUL,71700,59
377,TAMAN DAHLIA INDAH,Nilai,SETUL,71700,72
378,DESA PINGGIRAN BAYU atau BAYU LAKES HOMES,Nilai,SETUL,71700,"2,772"
379,TAMAN ROS,Nilai,SETUL,71700,229
380,TAMAN SRI RAMAI BARU,Nilai,SETUL,71700,28
381,TAMAN ANDALAS,Nilai,SETUL,71700,576
